Geo Code,Geo Name,Line Number
"01H3N","H3N",53215
"01H3P","H3P",53342
"01H3R","H3R",53469
"01H3S","H3S",53596
"01H3T","H3T",53723
"01H3V","H3V",53850
"01H3W","H3W",53977
"01H3X","H3X",54104
"01H3Y","H3Y",54231
"01H3Z","H3Z",54358
"01H4A","H4A",54485
"01H4B","H4B",54612
"01H4C","H4C",54739
"01H4E","H4E",54866
"01H4G","H4G",54993
"01H4H","H4H",55120
"01H4J","H4J",55247
"01H4K","H4K",55374
"01H4L","H4L",55501
"01H4M","H4M",55628
"01H4N","H4N",55755
"01H4P","H4P",55882
"01H4R","H4R",56009
"01H4S","H4S",56136
"01H4V","H4V",56263
"01H4W","H4W",56390
"01H4X","H4X",56517
"01H7A","H7A",56644
"01H7B","H7B",56771
"01H7C","H7C",56898
"01H7E","H7E",57025
"01H7G","H7G",57152
"01H7H","H7H",57279
"01H7J","H7J",57406
"01H7K","H7K",57533
"01H7L","H7L",57660
"01H7M","H7M",57787
"01H7N","H7N",57914
"01H7P","H7P",58041
"01H7R","H7R",58168
"01H7S","H7S",58295
"01H7T","H7T",58422
"01H7V","H7V",58549
"01H7W","H7W",58676
"01H7X","H7X",58803
"01H7Y","H7Y",58930
"01H8N","H8N",59057
"01H8P","H8P",59184
"01H8R","H8R",59311
"01H8S","H8S",59438
"01H8T","H8T",59565
"01H8Y","H8Y",59692
"01H8Z","H8Z",59819
"01H9A","H9A",59946
"01H9B","H9B",60073
"01H9C","H9C",60200
"01H9E","H9E",60327
"01H9G","H9G",60454
"01H9H","H9H",60581
"01H9J","H9J",60708
"01H9K","H9K",60835
"01H9P","H9P",60962
"01H9R","H9R",61089
"01H9S","H9S",61216
"01H9W","H9W",61343
"01H9X","H9X",61470
"01J0A","J0A",61597
"01J0B","J0B",61724
"01J0C","J0C",61851
"01J0E","J0E",61978
"01J0G","J0G",62105
"01J0H","J0H",62232
"01J0J","J0J",62359
"01J0K","J0K",62486
"01J0L","J0L",62613
"01J0M","J0M",62740
"01J0N","J0N",62867
"01J0P","J0P",62994
"01J0R","J0R",63121
"01J0S","J0S",63248
"01J0T","J0T",63375
"01J0V","J0V",63502
"01J0W","J0W",63629
"01J0X","J0X",63756
"01J0Y","J0Y",63883
"01J0Z","J0Z",64010
"01J1A","J1A",64137
"01J1C","J1C",64264
"01J1E","J1E",64391
"01J1G","J1G",64518
"01J1H","J1H",64645
"01J1J","J1J",64772
"01J1K","J1K",64899
"01J1L","J1L",65026
"01J1M","J1M",65153
"01J1N","J1N",65280
"01J1R","J1R",65407
"01J1S","J1S",65534
"01J1T","J1T",65661
"01J1X","J1X",65788
"01J1Z","J1Z",65915
"01J2A","J2A",66042
"01J2B","J2B",66169
"01J2C","J2C",66296
"01J2E","J2E",66423
"01J2G","J2G",66550
"01J2H","J2H",66677
"01J2J","J2J",66804
"01J2K","J2K",66931
"01J2L","J2L",67058
"01J2M","J2M",67185
"01J2N","J2N",67312
"01J2R","J2R",67439
"01J2S","J2S",67566
"01J2T","J2T",67693
"01J2W","J2W",67820
"01J2X","J2X",67947
"01J2Y","J2Y",68074
"01J3A","J3A",68201
"01J3B","J3B",68328
"01J3E","J3E",68455
"01J3G","J3G",68582
"01J3H","J3H",68709
"01J3L","J3L",68836
"01J3M","J3M",68963
"01J3N","J3N",69090
"01J3P","J3P",69217
"01J3R","J3R",69344
"01J3T","J3T",69471
"01J3V","J3V",69598
"01J3X","J3X",69725
"01J3Y","J3Y",69852
"01J3Z","J3Z",69979
"01J4B","J4B",70106
"01J4G","J4G",70233
"01J4H","J4H",70360
"01J4J","J4J",70487
"01J4K","J4K",70614
"01J4L","J4L",70741
"01J4M","J4M",70868
"01J4N","J4N",70995
